"Date","Average price"
2002-01-01,14735
2002-02-01,14057
2002-03-01,14662
2002-04-01,16334
2002-05-01,18357
2002-06-01,20178
2002-07-01,20904
2002-08-01,21601
2002-09-01,24040
2002-10-01,27040
2002-11-01,31721
2002-12-01,27848
2003-01-01,24267
2003-02-01,25254
2003-03-01,29551
2003-04-01,34845
2003-05-01,36903
2003-06-01,37667
2003-07-01,38269
2003-08-01,39369
2003-09-01,38728
2003-10-01,34842
2003-11-01,34284
2003-12-01,38054
2004-01-01,39516
2004-02-01,40053
2004-03-01,43333
2004-04-01,45492
2004-05-01,34226
2004-06-01,21001
2004-07-01,23544
2004-08-01,25991
2004-09-01,30033
2004-10-01,29768
2004-11-01,27620
2004-12-01,30282
2005-01-01,32520
2005-02-01,32425
2005-03-01,34684
2005-04-01,37355
2005-05-01,35661
2005-06-01,37479
2005-07-01,38378
2005-08-01,35905
2005-09-01,28927
2005-10-01,26385
2005-11-01,30320
2005-12-01,36749
2006-01-01,31220
2006-02-01,34887
2006-03-01,38932
2006-04-01,38326
2006-05-01,38139
2006-06-01,39752
2006-07-01,39966
2006-08-01,40459
2006-09-01,41601
2006-10-01,37899
2006-11-01,38460
2006-12-01,40518
2007-01-01,40974
2007-02-01,40473
2007-03-01,41573
2007-04-01,43623
2007-05-01,44853
2007-06-01,47711
2007-07-01,46581
2007-08-01,46897
2007-09-01,49631
2007-10-01,51000
2007-11-01,54317
2007-12-01,56042
2008-01-01,23370
2008-03-01,32169
2008-04-01,37659
2008-05-01,36047
2008-06-01,34947
2008-07-01,34491
2008-08-01,36460
2008-09-01,31788
2008-10-01,33224
2008-11-01,24351
2008-12-01,31665
2009-01-01,29399
2009-02-01,33394
2009-03-01,27552
2009-04-01,28724
2009-05-01,29100
2009-06-01,30363
2009-07-01,32522
2009-08-01,36231
2009-09-01,29500
2009-10-01,34402
2009-11-01,35317
2009-12-01,37593
2010-01-01,38311
2010-02-01,38620
2010-03-01,39882
2010-04-01,41637
2010-05-01,42262
2010-06-01,40380
2010-07-01,39362
2010-08-01,40169
2010-09-01,42180
2010-10-01,43271
2010-11-01,45291
2010-12-01,15970
2011-01-01,38771
2011-02-01,44627
2011-03-01,46657
2011-04-01,47399
2011-05-01,47700
2011-06-01,48855
2011-07-01,51174
2011-08-01,52228
2011-09-01,52622
2011-10-01,54008
2011-11-01,47635
2011-12-01,51437
2012-01-01,53195
2012-02-01,55632
2012-03-01,58625
2012-04-01,61626
2012-05-01,64367
2012-06-01,58227
2012-07-01,58271
2012-08-01,62559
2012-09-01,66425
2012-10-01,66708
2012-11-01,66946
2012-12-01,69346
2013-01-01,75332
2013-02-01,83571
2013-03-01,91898
2013-04-01,84101
2013-05-01,80803
2013-06-01,77823
2013-07-01,76465
2013-08-01,74939
2013-09-01,73492
2013-10-01,83723
2013-11-01,75717
2013-12-01,76093
2014-01-01,73501
2014-02-01,73357
2014-03-01,73872
2014-04-01,74113
2014-05-01,74503
2014-06-01,73896
2014-07-01,74680
2014-08-01,73785
2014-09-01,73875
2014-10-01,74075
2014-11-01,73633
2014-12-01,73687
2015-01-01,74216
2015-02-01,76618
2015-03-01,74830
2015-04-01,80759
2015-05-01,79099
2015-06-01,80020
2015-07-01,83171
2015-08-01,82642
2015-09-01,82172
2015-10-01,85424
2015-11-01,84703
2015-12-01,84572
2016-01-01,82352
2016-02-01,83244
2016-03-01,83148
2016-04-01,85127
2016-05-01,85058
2016-06-01,84483
2016-07-01,87235
2016-08-01,86946
2016-09-01,86523
2016-10-01,88359
2016-11-01,88665
2016-12-01,88412
2017-01-01,87685
2017-02-01,88240
2017-03-01,87916
2017-04-01,89850
2017-05-01,90209
2017-06-01,89532
2017-07-01,92250
2017-08-01,91629
2017-09-01,91415
2017-10-01,93540
2017-11-01,93130
2017-12-01,92848
2018-01-01,87936
2018-02-01,87660
2018-03-01,88176
2018-04-01,87089
2018-05-01,89018
2018-06-01,87900
2018-07-01,88380
2018-08-01,88365
2018-09-01,87410
2018-10-01,88070
2018-11-01,87374
2018-12-01,87508
2019-01-01,89565
