Date,Close
14/11/2022,80.08
21/11/2022,76.28
28/11/2022,79.98
05/12/2022,71.02
12/12/2022,74.29
19/12/2022,79.56
26/12/2022,80.26
02/01/2023,73.77
09/01/2023,79.86
16/01/2023,81.31
23/01/2023,79.68
30/01/2023,73.39
06/02/2023,79.72
13/02/2023,76.34
20/02/2023,76.32
27/02/2023,79.68
06/03/2023,76.68
12/03/2023,66.74
19/03/2023,69.26
26/03/2023,75.67
02/04/2023,80.70
09/04/2023,82.52
16/04/2023,77.87
23/04/2023,76.78
30/04/2023,71.34
07/05/2023,70.04
14/05/2023,71.55
21/05/2023,72.67
28/05/2023,71.74
04/06/2023,70.17
11/06/2023,71.78
18/06/2023,69.16
25/06/2023,70.64
02/07/2023,73.86
09/07/2023,75.42
16/07/2023,77.07
23/07/2023,80.58
30/07/2023,82.82
06/08/2023,83.19
13/08/2023,81.25
20/08/2023,79.83
27/08/2023,85.55
03/09/2023,87.51
10/09/2023,90.77
17/09/2023,90.03
24/09/2023,90.79
01/10/2023,82.79
08/10/2023,87.69
15/10/2023,88.75
22/10/2023,85.54
29/10/2023,80.51
06/11/2023,77.17
13/11/2023,78.26
